id,emoji,name,description,keywords
1058,🕰️, Mantelpiece Clock,"An antique-styled mantel clock with a flat base and rounded case, as made of wood and brass and placed above a fireplace.",antique-styled mantel clock rounded case flat base and made of wood
1059,🌡️, Thermometer,"A liquid-in-glass thermometer, as used to measure temperature. Depicted at various angles with a red liquid risen from the bulb to various levels on the scale. Commonly used for content concerning high temperatures, including warm weather, illness (having a fever), and various slang senses of hot.",measure temperature thermometer red liquid risen including warm weather high temperatures
1060,⛱️, Umbrella on Ground,"A large, open umbrella, as provides shade at a beach or patio. Generally depicted as a striped umbrella inserted into a patch of sand and tilted to the right.",beach or patio open umbrella striped inserted large
1061,🧨,Firecracker,"A firecracker, as lit on Chinese New Year, New Year's Eve, or Independence Day. Depicted as a red tube with a burning fuse, sometimes lined with gold rings at its top and base.",Year Eve Independence Day Chinese New lit on
1062,🎈,Balloon,"A balloon on a string, as decorates a birthday party. Generally depicted in red, though WhatsApp’s is pink and Google’s orangish-red.",birthday party decorates a Google ’s orangish-red pink and string Generally depicted
1063,🎉,Party Popper,"A party popper, as explodes in a shower of confetti and streamers at a celebration. Generally depicted as a gold party hat, striped on some platforms, at a 45° angle, with multicolored confetti and streamers coming from its opening at the upper right. Twitter’s cone is red.",confetti and streamers party popper gold hat shower of multicolored coming
1064,🎊,Confetti Ball,"A golden ball, split in two halves in a shower of multicolored confetti and streamers.",golden ball confetti and streamers shower of multicolored split
1065,🎎,Japanese Dolls,"Ornamental Japanese Emperor and Empress dolls, as displayed in celebration of Hinamatsuri on March 3 in Japan (Girls’ or Dolls’ Day).",Ornamental Japanese Emperor Hinamatsuri on March Girls’ or Dolls’ Day and Empress
1066,🎏,Carp Streamer,"Japanese koinobori, decorative, carp-shaped windsocks flown in celebration of Children’s Day on May 5 in Japan. Generally depicted as a blue and red stylized carp fish on a golden pole.",carp-shaped windsocks flown Children ’s Day Japanese koinobori celebration of in
1067,🎐,Wind Chime,"A Japanese wind chime. Depicted as a glass bell with a strip of paper suspended from its clapper, often decorated with cherry blossom-like flowers.",Japanese wind chime cherry blossom-like flowers
1068,🧧,Red Envelope,"A red envelope, as gifted with money on Chinese New Year or on other joyous occasions, such as weddings, in Chinese and some other Asian cultures around the world.",Asian cultures red envelope joyous occasions Chinese New Year gifted with money on
1069,🎀,Ribbon,"A pink or red ribbon, as tied into a bow on a gift or woman's hat.",red ribbon woman hat pink or gift
1070,🎁,Wrapped Gift,"A present or gift in a box tied with a bow, as given on a birthday or Christmas. Box and ribbon color vary across platforms, but commonly depicted as a gold box with a lid wrapped with a red ribbon.",birthday or Christmas present gift box tied ribbon color vary gold
1071,🤿,Diving Mask,"A diving mask with a snorkel, used for scuba diving or other underwater activities. Colors vary across platforms.",underwater activities diving mask scuba snorkel
1072,🪀,Yo-Yo,A round yo-yo with its string coming out. It appears in various colors and designs across platforms.,round yo-yo string coming designs across platforms
1073,🪁,Kite,A diamond-shaped kite with a tail. This emoji appears in various colors across platforms.,diamond-shaped kite tail colors across platforms emoji
1074,🔮,Crystal Ball,"A crystal ball, as a fortune teller or clairvoyant gazes into to tell the future. Depicted as a sparkling, purple or blue crystal orb resting on a stand.",fortune teller or clairvoyant gazes crystal ball blue orb resting
1075,🪄,Magic Wand,"A wand with sparkles (✨magic✨) coming out of its end. Most platforms show a classic magician-style magic wand that's black with white tips. WhatsApp shows a golden magic wand tipped with a star, similar to the wand that Glenda the Good Witch uses in the 1939 film The Wizard of Oz.",magic wand Glenda the Good Witch magician-style classic
1076,🧿,Nazar Amulet,"A nazar, an eye-shaped amulet believed to protect against the evil eye, especially in Turkish culture. Depicted as a rich blue, circular bead with a black dot in the center ringed with white and light blue, resembling an eye.",eye-shaped amulet believed Turkish culture to protect evil eye
1077,🕹️, Joystick,"A joystick, as used in playing classic arcade, computer, or video games. Generally depicted with a black base, red-knobbed control stick, and one or more red buttons.",playing classic arcade video games computer red-knobbed control stick joystick
1078,🧸,Teddy Bear,"A classic teddy bear, as snuggled by a child when going to sleep.",classic teddy bear sleep
1079,🪅,Piñata,"A colorful decorated container that comes in many shapes, a piñata is filled with candy or toys. Hit to break open for celebrations such as Cinco de Mayo, this is generally associated with Mexico.",colorful decorated container candy or toys piñata is filled with Cinco de Mayo
1080,🪆,Nesting Dolls,Nesting Dolls was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,Nesting Dolls part of Unicode added to Emoji was approved as
1081,🖼️, Framed Picture,"A framed picture of a painting or photograph, as displayed in a gallery or on a household wall. Vendors feature various scenes, though generally a lush, sunny landscape of hills and mountains, in a gold frame.",painting or photograph household wall framed picture Vendors feature various scenes generally a lush sunny landscape
1082,🧵,Thread,"A spool of thread, as used for sewing. Thread color varies across platforms, though often depicted in red or blue and on a wooden spool. Sometimes shown with an end unraveling.",sewing spool thread varies across platforms Thread color wooden
1083,🪡,Sewing Needle,Sewing Needle was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,Sewing Needle part of Unicode added to Emoji was approved as
1084,🧶,Yarn,"A ball of yarn, as used to knit a scarf. Color varies across platforms, but often depicted in green, blue, or magenta and shown with an end unraveling. Sometimes depicted with a pair of knitting needles stuck in the ball.",knit a scarf ball of yarn Color varies across platforms
1085,🪢,Knot,Knot was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,part of Unicode added to Emoji Knot was approved as
1086,🛍️, Shopping Bags,"Two colorful shopping bags, as contain consumer items bought at a department store. Depicted as gift bags in various bright colors, patterns, sizes, and positions across platforms. Apple's design, for instance, features a pink bag with light-pink dots in front of a gold bag with yellow stripes.",consumer items bought colorful shopping bags department store
