id,emoji,name,description,keywords
291,🤵‍♀️,♀️ Woman in Tuxedo,"The Woman in Tuxedo emoji is a ZWJ sequence combining 🤵 Person in Tuxedo, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Person in Tuxedo Width Joiner Woman
292,👰,Person With Veil,A person in traditional western wedding dress with a veil over their head.,traditional western wedding dress person in head
293,👰‍♂️,♂️ Man with Veil,"The Man with Veil emoji is a ZWJ sequence combining 👰 Person With Veil, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Person With Veil Width Joiner Man with
294,👰‍♀️,♀️ Woman with Veil,"The Woman with Veil emoji is a ZWJ sequence combining 👰 Person With Veil, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Person With Veil Width Joiner Woman with
295,🤰,Pregnant Woman,"A pregnant woman, intended to complete the family emoji set. Sometimes used in jest to represent feeling full after over-eating; aka ""food baby"".",family emoji set pregnant woman intended to complete the food baby
296,🤱,Breast-Feeding,"A woman shown breastfeeding a baby, sometimes looking down to the infant and smiling.",woman shown breastfeeding a baby infant and smiling
297,👩‍🍼,🍼 Woman Feeding Baby,"A woman feeding a baby with a bottle, sometimes looking down to the infant and smiling.",infant and smiling woman feeding a baby bottle
298,👨‍🍼,🍼 Man Feeding Baby,"A man feeding a baby with a bottle, sometimes looking down to the infant and smiling.",infant and smiling man feeding a baby bottle
299,🧑‍🍼,🍼 Person Feeding Baby,"A person feeding a baby with a bottle, sometimes looking down to the infant and smiling.",infant and smiling person feeding a baby bottle
300,👼,Baby Angel,"An angelic baby with wings, and a halo above its head. Commonly known as a cherub.",baby with wings angelic head halo
301,🎅,Santa Claus,"Santa Claus, sometimes referred to as Father Christmas, brings joy to children at Christmas time. Displayed with a beard and red festive hat.",Santa Claus Father Christmas time brings joy to children
